model_name,context_size,duration_seconds,tokens_per_second,success,error_message
gpt-5-mini,10,1.5237069129943848,6.5629419376643945,True,
gpt-5-mini,10,0.8862881660461426,11.28301198538103,True,
gpt-5-mini,10,0.9006221294403076,11.10343580632924,True,
gpt-5-mini,100,0.7856869697570801,127.27715216012577,True,
gpt-5-mini,100,0.699760913848877,142.90595262026363,True,
gpt-5-mini,100,0.8812329769134521,113.47736934477116,True,
gpt-5-mini,1000,1.8352530002593992,544.8840022921403,True,
gpt-5-mini,1000,1.0297179222106934,971.1397446138528,True,
gpt-5-mini,1000,1.1233670711517334,890.1809797351002,True,
gpt-5-mini,10000,1.353322982788086,7389.2190756992995,True,
gpt-5-mini,10000,1.1877057552337646,8419.593789062508,True,
gpt-5-mini,10000,1.2811610698699951,7805.419814242984,True,
gpt-5-mini,100000,4.453594207763672,22453.7744875086,True,
gpt-5-mini,100000,5.708270072937012,17518.442316543747,True,
gpt-5-mini,100000,3.361977815628052,29744.3961513229,True,
gpt-5-nano,10,0.5012767314910889,19.949060811688145,True,
gpt-5-nano,10,0.6956679821014404,14.374673346029926,True,
gpt-5-nano,10,0.6782040596008301,14.744824744761466,True,
gpt-5-nano,100,0.6210849285125732,161.00857613706464,True,
gpt-5-nano,100,0.6229569911956787,160.52472548395997,True,
gpt-5-nano,100,0.9502170085906982,105.23911811293893,True,
gpt-5-nano,1000,0.4767439365386963,2097.562073385347,True,
gpt-5-nano,1000,1.912470817565918,522.8837955670048,True,
gpt-5-nano,1000,0.5366439819335938,1863.4328039920952,True,
gpt-5-nano,10000,0.7802979946136475,12815.616686226838,True,
gpt-5-nano,10000,0.8472561836242676,11802.805566108083,True,
gpt-5-nano,10000,1.4305980205535889,6990.083766598787,True,
gpt-5-nano,100000,3.7632241249084473,26572.95889928767,True,
gpt-5-nano,100000,2.6722159385681152,37422.12541909475,True,
gpt-5-nano,100000,3.0549840927124023,32733.394664328305,True,
gemini-2.5-pro,10,1.181610107421875,8.463028487305975,True,
gemini-2.5-pro,10,2.3324389457702637,4.287357668304413,True,
gemini-2.5-pro,10,1.6977269649505615,5.890228644799315,True,
gemini-2.5-pro,100,2.5945920944213867,38.541703805777125,True,
gemini-2.5-pro,100,1.5253288745880127,65.55963219866912,True,
gemini-2.5-pro,100,1.7928800582885742,55.77617952617354,True,
gemini-2.5-pro,1000,2.301568031311035,434.4863964027051,True,
gemini-2.5-pro,1000,1.215873956680298,822.453671703193,True,
gemini-2.5-pro,1000,1.8872947692871096,529.8589368621689,True,
gemini-2.5-pro,10000,1.663442850112915,6011.6282319655265,True,
gemini-2.5-pro,10000,1.7315776348114014,5775.080365420157,True,
gemini-2.5-pro,10000,2.744277000427246,3643.947020815733,True,
gemini-2.5-pro,100000,5.687037944793701,17583.846102441916,True,
gemini-2.5-pro,100000,4.245106935501099,23556.532619641977,True,
gemini-2.5-pro,100000,5.242232799530029,19075.841120402947,True,
gemini-2.5-pro,1000000,18.024439811706543,55480.22631752019,True,
gemini-2.5-pro,1000000,25.552119970321655,39135.696026845624,True,
gemini-2.5-pro,1000000,18.687535047531128,53511.605327108846,True,
gemini-2.5-flash,10,0.6726620197296143,14.86630686242645,True,
gemini-2.5-flash,10,0.8839931488037109,11.312304867444716,True,
gemini-2.5-flash,10,0.7159011363983154,13.968409172123687,True,
gemini-2.5-flash,100,0.9102749824523926,109.856913490677,True,
gemini-2.5-flash,100,0.7411761283874512,134.92069721344942,True,
gemini-2.5-flash,100,0.8390769958496094,119.1785741888261,True,
gemini-2.5-flash,1000,0.6267762184143066,1595.4657669206397,True,
gemini-2.5-flash,1000,0.8438689708709717,1185.0180946550065,True,
gemini-2.5-flash,1000,0.7445487976074219,1343.0953125080057,True,
gemini-2.5-flash,10000,0.8664886951446533,11540.831468471242,True,
gemini-2.5-flash,10000,1.0639801025390625,9398.67200160622,True,
gemini-2.5-flash,10000,0.9767301082611084,10238.242801589471,True,
gemini-2.5-flash,100000,2.332695960998535,42868.852894654105,True,
gemini-2.5-flash,100000,2.127362012863159,47006.57405526044,True,
gemini-2.5-flash,100000,2.2072529792785645,45305.18293045175,True,
gemini-2.5-flash,1000000,23.19274878501892,43116.924572818985,True,
gemini-2.5-flash,1000000,22.598003149032593,44251.69752411551,True,
gemini-2.5-flash,1000001,21.36974310874939,46795.18115454419,True,
gemini-2.5-flash-lite,10,0.2880120277404785,34.720772179038256,True,
gemini-2.5-flash-lite,10,0.3085923194885254,32.40521350814707,True,
gemini-2.5-flash-lite,10,0.2107791900634765,47.443013691192576,True,
gemini-2.5-flash-lite,100,0.3044419288635254,328.4698673842255,True,
gemini-2.5-flash-lite,100,0.2571570873260498,388.8673691237211,True,
gemini-2.5-flash-lite,100,0.3226039409637451,309.9776143504651,True,
gemini-2.5-flash-lite,1001,0.2981030941009521,3357.8987263413405,True,
gemini-2.5-flash-lite,1000,0.3860809803009033,2590.1301825866203,True,
gemini-2.5-flash-lite,1000,0.2170541286468505,4607.145720904535,True,
gemini-2.5-flash-lite,10000,0.5205719470977783,19209.640580424348,True,
gemini-2.5-flash-lite,10000,0.4011077880859375,24930.95446418382,True,
gemini-2.5-flash-lite,10000,0.4304032325744629,23234.02624135711,True,
gemini-2.5-flash-lite,100000,1.015336990356445,98489.46797938868,True,
gemini-2.5-flash-lite,100000,1.2973549365997314,77079.90865020515,True,
gemini-2.5-flash-lite,100000,1.224740982055664,81649.91738265767,True,
gemini-2.5-flash-lite,1000000,14.553822994232178,68710.46874737379,True,
gemini-2.5-flash-lite,1000000,13.52851700782776,73917.93198185643,True,
claude-sonnet-4,10,1.3689570426940918,7.304831114583489,True,
claude-sonnet-4,10,1.4385080337524414,6.951646960159375,True,
claude-sonnet-4,10,1.463367223739624,6.833554720765902,True,
