model_name,context_size,duration_seconds,tokens_per_second,success,error_message,response_text,response_tokens,response_length,time_to_first_token,total_generation_time,tokens_per_second_generation,streaming_chunks
gpt-5-mini,10,1.5237069129943848,6.5629419376643945,True,,,,,,,,
gpt-5-mini,10,0.8862881660461426,11.28301198538103,True,,,,,,,,
gpt-5-mini,10,0.9006221294403076,11.10343580632924,True,,,,,,,,
gpt-5-mini,100,0.7856869697570801,127.27715216012577,True,,,,,,,,
gpt-5-mini,100,0.699760913848877,142.90595262026363,True,,,,,,,,
gpt-5-mini,100,0.8812329769134521,113.47736934477116,True,,,,,,,,
gpt-5-mini,1000,1.8352530002593992,544.8840022921403,True,,,,,,,,
gpt-5-mini,1000,1.0297179222106934,971.1397446138528,True,,,,,,,,
gpt-5-mini,1000,1.1233670711517334,890.1809797351002,True,,,,,,,,
gpt-5-mini,10000,1.353322982788086,7389.2190756992995,True,,,,,,,,
gpt-5-mini,10000,1.1877057552337646,8419.593789062508,True,,,,,,,,
gpt-5-mini,10000,1.2811610698699951,7805.419814242984,True,,,,,,,,
gpt-5-mini,100000,4.453594207763672,22453.7744875086,True,,,,,,,,
gpt-5-mini,100000,5.708270072937012,17518.442316543747,True,,,,,,,,
gpt-5-mini,100000,3.361977815628052,29744.3961513229,True,,,,,,,,
gpt-5-nano,10,0.5012767314910889,19.949060811688145,True,,,,,,,,
gpt-5-nano,10,0.6956679821014404,14.374673346029926,True,,,,,,,,
gpt-5-nano,10,0.6782040596008301,14.744824744761466,True,,,,,,,,
gpt-5-nano,100,0.6210849285125732,161.00857613706464,True,,,,,,,,
gpt-5-nano,100,0.6229569911956787,160.52472548395997,True,,,,,,,,
gpt-5-nano,100,0.9502170085906982,105.23911811293893,True,,,,,,,,
gpt-5-nano,1000,0.4767439365386963,2097.562073385347,True,,,,,,,,
gpt-5-nano,1000,1.912470817565918,522.8837955670048,True,,,,,,,,
gpt-5-nano,1000,0.5366439819335938,1863.4328039920952,True,,,,,,,,
gpt-5-nano,10000,0.7802979946136475,12815.616686226838,True,,,,,,,,
gpt-5-nano,10000,0.8472561836242676,11802.805566108083,True,,,,,,,,
gpt-5-nano,10000,1.4305980205535889,6990.083766598787,True,,,,,,,,
gpt-5-nano,100000,3.7632241249084473,26572.95889928767,True,,,,,,,,
gpt-5-nano,100000,2.6722159385681152,37422.12541909475,True,,,,,,,,
gpt-5-nano,100000,3.0549840927124023,32733.394664328305,True,,,,,,,,
gpt-5,1,0.8543591499328613,1.1704679467394756,True,,,,,,,,
gpt-5,1,0.495805025100708,2.0169218732643537,True,,,,,,,,
gpt-5,1,0.4553840160369873,2.195948836111054,True,,,,,,,,
gpt-5,10,0.5776569843292236,17.311311507142978,True,,,,,,,,
gpt-5,10,0.595203161239624,16.800986035042378,True,,,,,,,,
gpt-5,10,1.4840202331542969,6.738452600976282,True,,,,,,,,
gpt-5,100,0.4141147136688232,241.47898323644745,True,,,,,,,,
gpt-5,100,0.4712202548980713,212.2149864326838,True,,,,,,,,
gpt-5,100,0.4291069507598877,233.04213512019356,True,,,,,,,,
gpt-5,1000,0.4837889671325683,2064.9499427841497,True,,,,,,,,
gpt-5,1000,0.6612269878387451,1512.3399655367243,True,,,,,,,,
gpt-5,1000,0.5149791240692139,1941.8262862740796,True,,,,,,,,
gpt-5,10000,1.5800580978393557,6328.881206124295,True,,,,,,,,
gpt-5,10000,0.9915611743927002,10085.106454601437,True,,,,,,,,
gpt-5,10000,1.1755130290985107,8506.924000382114,True,,,,,,,,
gpt-5,100000,5.687543153762817,17582.284177279795,True,,,,,,,,
gpt-5,100000,7.984493017196655,12524.4019607284,True,,,,,,,,
gpt-5,100000,5.680174112319946,17605.270194641394,True,,,,,,,,
gpt-5,1,0.8543591499328613,1.1704679467394756,True,,,,,,,,
gpt-5,1,0.495805025100708,2.0169218732643537,True,,,,,,,,
gpt-5,1,0.4553840160369873,2.195948836111054,True,,,,,,,,
gpt-5,10,0.5776569843292236,17.311311507142978,True,,,,,,,,
gpt-5,10,0.595203161239624,16.800986035042378,True,,,,,,,,
gpt-5,10,1.4840202331542969,6.738452600976282,True,,,,,,,,
gpt-5,100,0.4141147136688232,241.47898323644745,True,,,,,,,,
gpt-5,100,0.4712202548980713,212.2149864326838,True,,,,,,,,
gpt-5,100,0.4291069507598877,233.04213512019356,True,,,,,,,,
gpt-5,1000,0.4837889671325683,2064.9499427841497,True,,,,,,,,
gpt-5,1000,0.6612269878387451,1512.3399655367243,True,,,,,,,,
gpt-5,1000,0.5149791240692139,1941.8262862740796,True,,,,,,,,
gpt-5,10000,1.5800580978393557,6328.881206124295,True,,,,,,,,
gpt-5,10000,0.9915611743927002,10085.106454601437,True,,,,,,,,
gpt-5,10000,1.1755130290985107,8506.924000382114,True,,,,,,,,
gpt-5,100000,5.687543153762817,17582.284177279795,True,,,,,,,,
gpt-5,100000,7.984493017196655,12524.4019607284,True,,,,,,,,
gpt-5,100000,5.680174112319946,17605.270194641394,True,,,,,,,,
